City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Binika,0,IN,1554144153,76.1,2.21,21.03,83.8,75
Goderich,0,CA,1554144099,35.01,11.99,43.74,-81.71,72
Provideniya,56,RU,1554144175,27.05,9.55,64.42,-173.23,95
Dikson,24,RU,1554144175,24.8,24.25,73.51,80.55,94
Ada,40,US,1554144049,39,6.93,47.3,-96.52,93
Kaitangata,68,NZ,1554143908,46,8.01,-46.28,169.85,77
Hasaki,75,JP,1554143976,36,5.82,35.73,140.83,93
Ilulissat,20,GL,1554141000,15.8,24.16,69.22,-51.1,66
Torbay,75,CA,1554143524,62.6,16.11,47.66,-52.73,72
Shingu,0,JP,1554144176,46.31,19.33,33.72,135.99,100
Zonguldak,76,TR,1554144177,43.88,4.52,41.25,31.83,89
Luderitz,0,NA,1554144198,64.22,21.56,-26.65,15.16,68
Chapais,90,CA,1554142320,24.8,12.75,49.78,-74.86,53
Suclayin,76,PH,1554144199,78.44,11.45,15.76,121.55,100
Lebu,75,ET,1554141600,64.4,10.29,8.96,38.73,63
Karachi,0,PK,1554144184,76.46,7.02,24.87,67.03,96
Krasnoborsk,32,RU,1554144200,28.58,7.02,61.56,45.93,81
Aguimes,75,ES,1554144032,66.2,3.36,27.91,-15.45,72
Honiara,56,SB,1554143800,73.85,1.05,-9.43,159.96,100
Sursee,0,CH,1554144193,59,4.85,47.17,8.11,66
Muisne,90,EC,1554141600,82.4,9.17,0.61,-80.02,88
Bogorodskoye,64,RU,1554144201,18.77,4.34,52.37,140.44,72
Vaini,0,IN,1554143873,71.87,3.22,15.34,74.49,79
Waipawa,12,NZ,1554144136,54,5.99,-39.94,176.59,89
Cortez,1,US,1554143911,48.2,3.51,37.35,-108.58,45
Kajaani,90,FI,1554142800,30.2,6.93,64.22,27.73,92
Yellowknife,20,CA,1554143683,21,20.8,62.45,-114.38,62
Taber,75,CA,1554141600,42.8,4.7,49.79,-112.14,52
Gladstone,0,AU,1554143140,68,6.93,-23.84,151.26,72
Ketchikan,1,US,1554141360,48.2,16.11,55.34,-131.65,61
Tasiilaq,90,GL,1554141000,24.8,13.87,65.61,-37.64,62
Cabedelo,75,BR,1554141600,80.6,1.12,-6.97,-34.84,74
Georgetown,0,GY,1554143990,88.88,8.37,6.8,-58.16,53
Hobart,20,AU,1554143954,46.4,9.17,-42.88,147.33,81
Keelung,75,TW,1554144181,71.01,14.99,25.13,121.74,77
Mangrol,0,IN,1554143708,66.38,2.39,25.33,76.51,47
Dargaville,92,NZ,1554144205,63.5,10.83,-35.94,173.86,96
Katsuura,20,JP,1554143656,42.01,4.7,33.93,134.5,60
Launceston,90,AU,1554144017,52,4.7,-41.43,147.14,81
Gat,0,SN,1554141600,100.4,6.93,14.69,-16.54,24
Udachnyy,68,RU,1554144206,30.38,5.01,66.42,112.4,85
Palakkad,12,IN,1554143400,78.8,9.17,10.77,76.65,78
Beneditinos,56,BR,1554144207,81.41,4.12,-5.46,-42.36,91
Esperance,40,TT,1554143562,91,16.11,10.24,-61.45,46
Dzhebariki-Khaya,0,RU,1554144207,2.84,2.51,62.22,135.8,64
Dobrinka,8,RU,1554144208,38.3,11.9,52.17,40.48,71
Raudeberg,40,NO,1554143702,41,29.97,61.99,5.14,56
Jian,0,IN,1554143768,71.24,7.81,25.65,87.89,76
Berlevag,75,NO,1554141000,30.2,18.34,70.86,29.09,80
Meulaboh,92,ID,1554144209,80.87,0.31,4.14,96.13,100
Yuza,64,JP,1554144209,37.4,11.83,39.05,139.95,99
Noumea,0,NC,1554141600,68,3.36,-22.28,166.46,94
Yaroslavl,0,RU,1554141600,35.6,4.47,57.63,39.89,69
Sorland,40,NO,1554141000,41,17.22,67.67,12.69,93
Zheleznodorozhnyy,75,RU,1554144052,36,15.66,55.75,38,93
Zafra,40,ES,1554144033,59,8.05,38.43,-6.42,72
Sinfra,24,CI,1554144211,87.08,5.35,6.62,-5.91,65
Viedma,0,AR,1554143782,88.7,13.18,-40.81,-62.99,36
Carnarvon,0,ZA,1554143990,56.03,11.12,-30.97,22.13,29
Tigil,0,RU,1554144212,14.27,5.79,57.8,158.67,71
Dingle,36,PH,1554144212,74.48,11.56,11,122.67,91
Komsomolskiy,80,RU,1554144213,26.06,15.59,67.55,63.78,88
Namie,24,JP,1554144001,37.99,9.26,37.52,140.86,78
Agadez,0,NE,1554141600,95,11.41,16.97,7.99,17
Shelburne,75,CA,1554144181,39,10.29,44.08,-80.2,68
Lata,0,IN,1554144214,42.17,2.33,30.78,78.62,62
Matagami,0,NG,1554143645,86.63,7.09,9.67,8.4,20
Luebo,56,CD,1554144214,71.87,1.32,-5.35,21.42,97
Bredasdorp,68,ZA,1554144215,61.88,8.88,-34.53,20.04,95
Longyearbyen,20,NO,1554141000,10.4,11.41,78.22,15.63,60
Ormesson-sur-Marne,0,FR,1554144199,66.2,6.93,48.79,2.55,36
Shibata,24,JP,1554144001,33.01,5.23,37.91,139.43,92
Samarai,92,PG,1554144216,77.27,16.15,-10.62,150.67,100
Wukari,0,NG,1554144217,95.9,5.35,7.87,9.78,29
Uspenka,0,UA,1554144217,45.77,5.57,48.39,39.16,64
Hamilton,40,BM,1554143528,72,16.11,32.3,-64.78,68
Tias,20,ES,1554141600,68,3.36,28.96,-13.65,68
Sitka,0,US,1554143475,52,11.01,37.17,-99.65,52
Klaksvik,64,FO,1554142800,35.6,10.29,62.23,-6.59,93
Kangaatsiaq,76,GL,1554144219,22.46,9.78,68.31,-53.46,100
Vardo,1,US,1554144209,46.99,4.7,39.62,-77.74,30
Chany,0,RU,1554144219,28.85,11.83,55.31,76.76,87
Alim,0,NG,1554144220,89.33,2.89,7.18,7.33,60
Adelaide,0,AU,1554143466,59,3.36,-34.93,138.6,93
Blagoyevo,8,RU,1554144221,29.03,9.33,63.37,47.92,64
Berezovka,0,RU,1554144221,31.37,8.32,57.6,57.31,93
Lavrentiya,76,RU,1554143731,23.63,1.05,65.58,-170.99,99
Dryden,90,CA,1554142320,32,16.11,49.79,-92.84,53
Gaoual,8,GN,1554144222,102.47,3.33,11.75,-13.2,22
Kaliua,32,TZ,1554144222,69.08,2.89,-5.06,31.79,93
Ghanzi,36,BW,1554144222,72.05,3.29,-21.7,21.65,73
Ellington,20,US,1554144132,44.01,23.04,41.9,-72.47,24
Zuenoula,32,CI,1554143785,86.63,6.42,7.43,-6.04,65
Kambove,44,CD,1554144223,65.3,3.11,-10.88,26.6,94
Jiangyou,88,CN,1554144223,53.24,2.89,31.78,104.73,96
Challapata,12,BO,1554144224,59.36,6.24,-18.9,-66.78,47
Lucea,20,JM,1554143425,84.99,19.46,18.44,-78.17,74
Pisco,0,PE,1554141600,71.6,10.29,-13.71,-76.2,30
Kruisfontein,8,ZA,1554144224,59.72,13.62,-34,24.73,73
Berdigestyakh,32,RU,1554144225,15.8,4.23,62.1,126.7,76
Kamaishi,8,JP,1554144225,26.42,7.02,39.28,141.86,81
Floro,40,NO,1554143410,41,23.04,61.6,5.03,56
Yurkivka,0,UA,1554141600,55.4,22.37,47.64,35.68,50
Urengoy,32,RU,1554144226,19.49,10.78,65.96,78.37,79
Adre,0,TD,1554144226,79.61,4.74,13.47,22.2,36
Nassau,0,DE,1554144022,46.99,9.17,51.17,13.51,42
Oistins,40,BB,1554141600,84.2,21.92,13.07,-59.53,62
Maragogi,64,BR,1554144069,81.77,8.25,-9.01,-35.22,90
Shibetsu,64,JP,1554144227,15.8,2.21,44.15,142.46,81
Yarmouth,0,GB,1554144188,55.4,5.82,50.71,-1.5,76
Kavieng,20,PG,1554144228,83.21,10.94,-2.57,150.8,100
Kailua,1,US,1554144176,75,4.07,21.39,-157.74,88
Ust-Ilimsk,44,RU,1554144228,31.37,12.06,57.96,102.73,74
Fairbanks,1,US,1554143513,37,4.7,64.84,-147.72,80
Yulara,0,AU,1554141600,59,5.82,-25.24,130.99,30
Henin-Beaumont,0,FR,1554144205,57.2,8.05,50.41,2.96,71
Moussoro,0,TD,1554144229,88.25,10.83,13.64,16.49,12
Yashkul,92,RU,1554144230,42.62,12.28,46.17,45.34,90
Aracati,80,BR,1554144004,78.8,4.41,-4.56,-37.77,99
Kahului,20,US,1554144039,75.99,2.84,20.89,-156.47,64
Deputatskiy,0,RU,1554143763,-13.28,4.29,69.3,139.9,38
Cayenne,68,GF,1554141600,84.2,14.99,4.94,-52.33,70
Save,32,BJ,1554144240,87.44,1.88,8.04,2.49,66
Ostrovnoy,0,RU,1554144240,21.83,13.58,68.05,39.51,82
Celestun,68,MX,1554143869,80.24,3.4,20.87,-90.4,88
Laje,88,BR,1554144241,81.14,9.33,-13.18,-39.42,71
Murakami,68,JP,1554144241,31.46,4.52,38.29,139.58,74
Micheweni,8,TZ,1554144244,84.92,10.33,-4.97,39.83,100
Tuatapere,92,NZ,1554144008,48,13.13,-46.13,167.69,83
Kibala,20,TD,1554141600,98.6,11.41,9.11,18.35,29
Pevek,36,RU,1554144245,7.88,5.75,69.7,170.27,68
Okhotsk,12,RU,1554144245,18.68,7.65,59.36,143.24,87
Havre-Saint-Pierre,90,CA,1554143040,32,19.46,50.23,-63.6,96
Dunedin,36,NZ,1554143978,48.99,7,-45.87,170.5,67
Pontianak,56,ID,1554144246,75.56,1.99,-0.02,109.34,100
Alofi,40,NU,1554141600,73.4,5.82,-19.06,-169.92,94
Gizycko,0,PL,1554144259,36.77,4.41,54.04,21.76,66
Nacala,44,MZ,1554144259,81.68,11.45,-14.56,40.69,94
Cessnock,90,AU,1554144038,62.6,8.05,-32.83,151.35,93
Kitab,76,UZ,1554141600,50,11.41,39.12,66.88,81
Mumford,0,GH,1554144263,85.28,11.83,5.26,-0.76,69
Eyl,24,SO,1554144263,77.45,5.3,7.98,49.82,100
Coihaique,90,CL,1554141600,55.4,18.34,-45.58,-72.07,71
Kysyl-Syr,24,RU,1554143792,21.83,5.79,63.9,122.77,79
Paka,0,HR,1554141600,57.2,9.17,45.29,18.06,47
Topi,0,PK,1554144100,69.01,1.01,34.07,72.61,42
Constitucion,5,MX,1554144016,73.99,10.29,23.99,-104.67,13
Somers,40,US,1554144264,46.4,16.11,41.33,-73.69,30
Bourail,0,NC,1554144274,66.56,2.55,-21.57,165.5,99
Sola,75,NO,1554144020,39.99,13.87,58.89,5.65,64
Mogadishu,0,SO,1554144226,83.12,14.92,2.04,45.34,99
Rome,0,IT,1554143946,62.6,3.36,41.89,12.48,67
San-Pedro,0,CI,1554144275,86.72,11.68,4.75,-6.64,67
Souillac,0,FR,1554143749,59,11.41,45.6,-0.6,62
Saint-Joseph,0,FR,1554143620,60.8,0.83,43.56,6.97,48
Tiksi,0,RU,1554144279,7.07,2.55,71.64,128.87,68
Shimoda,76,JP,1554143711,39.99,14.41,34.7,138.93,81
Auki,32,NG,1554144279,91.13,10.27,12.18,6.51,16
Ovalle,24,CL,1554144185,66.2,3.85,-30.6,-71.2,89
Bandarbeyla,0,SO,1554144280,79.88,6.02,9.49,50.81,100
Manitouwadge,75,CA,1554141600,33.8,9.17,49.12,-85.84,74
Tromso,75,NO,1554141000,33.8,23.04,69.65,18.96,86
Magan,0,RU,1554141600,8.6,4.47,62.1,129.53,84
Borovoy,0,RU,1554144281,22.28,8.1,63.23,52.89,73
Ola,80,RU,1554143648,27.95,15.97,59.58,151.3,89
Churapcha,0,RU,1554144282,6.8,3.29,62,132.43,69
Faanui,88,PF,1554144285,83.39,6.91,-16.48,-151.75,100
Progreso,75,UY,1554142538,78.8,5.82,-34.68,-56.22,57
Vestmannaeyjar,40,IS,1554141600,32,13.87,63.44,-20.27,89
Namibe,20,AO,1554144286,81.32,17.43,-15.19,12.15,94
Tautira,75,PF,1554144174,86,8.05,-17.73,-149.15,66
Indi,48,IN,1554144287,85.82,9.6,17.17,75.96,21
Markova,0,RU,1554144274,30.2,6.71,52.21,104.21,68
Nabire,44,ID,1554143757,68.72,2.06,-3.36,135.5,92
Agadir,48,MA,1554144288,63.41,5.53,30.42,-9.58,65
Portoferraio,40,IT,1554144265,62.01,5.82,42.81,10.31,33
Porbandar,0,IN,1554144289,77.63,11.83,21.64,69.61,75
Goure,8,NE,1554144289,93.2,11.61,13.98,10.27,11
Gao,20,ML,1554144289,99.5,2.89,16.28,-0.04,19
Inverness,40,GB,1554144006,45,9.17,57.48,-4.23,70
Cairns,90,AU,1554144029,75.2,11.41,-16.92,145.77,88
Columbus,1,US,1554143500,64,9.17,32.46,-84.99,23
Gornopravdinsk,92,RU,1554144291,36.05,13.62,60.06,69.92,97
Tessalit,0,ML,1554144291,91.13,6.53,20.2,1.01,22
Narsaq,75,GL,1554141000,23,3.36,60.91,-46.05,49
Udgir,0,IN,1554144292,76.82,7.43,18.39,77.12,27
Poronaysk,68,RU,1554144292,20.03,6.53,49.22,143.1,84
Birao,0,CF,1554144292,85.73,8.32,10.3,22.78,19
Mulege,36,MX,1554144300,80.87,4.56,26.88,-111.98,21
Mackay,40,CA,1554141600,42.8,10.29,53.65,-115.58,56
Iluppur,0,IN,1554141600,86,5.82,10.51,78.62,66
Truro,75,GB,1554144184,54,9.17,50.26,-5.05,87
Kangavar,20,IR,1554141600,33.8,6.93,34.5,47.96,100
Lompoc,1,US,1554144237,75.99,2.06,34.64,-120.46,49
Nuuk,75,GL,1554141000,26.6,10.29,64.17,-51.74,45
Talaya,0,RU,1554144315,30,11.18,55.79,84.89,79
Socastee,1,US,1554144318,55.99,6.93,33.68,-79,34
Ambon,32,FR,1554144126,64,4.7,47.55,-2.56,59
Kanniyakumari,0,IN,1554144317,85.37,10.67,8.08,77.57,97
Nemuro,12,JP,1554144320,30.74,5.12,43.32,145.57,100
Marialva,0,BR,1554141600,87.8,6.93,-23.48,-51.8,43
Lubango,0,AO,1554144321,71.87,2.06,-14.92,13.49,81
Kielce,0,PL,1554144042,42.01,12.35,50.87,20.63,1
Kamenka,92,RU,1554144322,34.07,2.77,53.19,44.05,91
Husavik,24,CA,1554144003,42.01,4,50.56,-96.99,61
Camacha,20,PT,1554143400,64.4,5.82,33.08,-16.33,63
Suntar,0,RU,1554144323,21.47,5.57,62.16,117.65,81
Algiers,1,US,1554144309,64.99,6.93,29.94,-90.04,54
Nome,90,US,1554143852,60.8,9.17,30.04,-94.42,41
Xiantao,48,CN,1554144323,53.87,5.75,30.37,113.44,67
Sept-Iles,90,CA,1554144210,32,19.46,50.2,-66.38,58
Tezu,92,IN,1554144324,53.33,1.5,27.93,96.16,100
Marfino,75,RU,1554144052,36,8.95,56.07,37.56,93
Lorengau,48,PG,1554144324,82.94,11.39,-2.02,147.27,98
Shache,0,CN,1554143666,48,3.29,38.42,77.24,31
Coquimbo,40,CL,1554141600,64.4,12.75,-29.95,-71.34,68
Tubuala,40,PA,1554141621,93.99,10.29,9.52,-79.03,44
Kaputa,56,ZM,1554144122,68.18,2.33,-8.47,29.66,94
Vangaindrano,88,MG,1554144326,74.3,2.89,-23.35,47.6,88
Ojinaga,1,US,1554143479,62.6,6.93,29.56,-104.41,23
Calama,20,CL,1554141600,73.4,17.22,-22.46,-68.93,25
Calvinia,0,ZA,1554144327,53.42,2.28,-31.47,19.78,45
Aviles,20,ES,1554144297,60.01,2.24,43.55,-5.92,82
Tolmin,20,IT,1554144308,69.8,10.29,46.18,13.73,47
Gummersbach,0,DE,1554144316,59,3.36,51.03,7.56,47
Manakara,80,MG,1554144329,79.43,8.32,-22.14,48.01,93
Rognan,75,NO,1554144259,39.2,13.87,67.1,15.4,93
Miami,20,US,1554144266,87.01,13.87,25.77,-80.19,51
Alugan,92,PH,1554144329,75.38,11.16,12.22,125.48,100
Tocopilla,0,CL,1554144330,68.45,6.64,-22.09,-70.2,94
Mumbwa,8,ZM,1554144330,75.47,9.1,-14.99,27.06,37
Maues,36,BR,1554144330,90.86,3.4,-3.38,-57.72,59
Nurota,12,UZ,1554141600,57.2,25.28,40.56,65.69,41
Iralaya,75,HN,1554141600,82.4,6.93,15,-83.23,74
Chateauroux,0,FR,1554144312,64.4,3.36,43.72,0.65,48
Tazovskiy,8,RU,1554144177,17.42,10.89,67.47,78.7,77
Mayo,5,CA,1554141600,35.6,4.7,63.59,-135.9,64
Xining,76,CN,1554144332,31.73,3.78,36.62,101.77,47
Saiki,12,JP,1554144332,44.6,11.12,32.95,131.89,100
Maniitsoq,8,GL,1554144332,22.28,8.93,65.42,-52.9,86
Zeya,0,RU,1554144333,9.95,2.39,53.74,127.27,64
Artyom,0,RU,1554141600,17.6,8.55,43.36,132.19,92
Druzhba,0,UA,1554144262,46,11.01,49.36,25.65,39
Goma,24,CD,1554144334,58.91,0.98,-1.67,29.23,100
Olinda,75,EC,1554144299,81,5.82,-2.03,-79.75,83
Braganca,92,BR,1554144334,80.33,3.89,-1.05,-46.77,92
Cumbum,0,IN,1554144335,72.77,2.33,15.58,79.11,82
Merano,0,IT,1554144181,66.2,2.24,46.67,11.16,54
Teeli,0,RU,1554144335,17.87,2.21,51.01,90.2,70
Naze,56,NG,1554144335,80.33,4.56,5.43,7.07,84
Merrill,90,US,1554144330,50,4.7,42.03,-121.6,81
Sidney,90,US,1554144125,44.6,6.93,47.72,-104.16,36
Gushi,92,CN,1554144337,51.17,6.13,32.17,115.65,61
Luba,0,PH,1554144337,68,3,17.32,120.7,84
Guilin,90,CN,1554141600,55.4,2.24,25.28,110.29,93
Sangolqui,75,EC,1554143531,69.8,11.41,-0.33,-78.45,56
Minab,0,IR,1554141600,75.2,4.7,27.15,57.07,64
Trofors,75,NO,1554142800,41,5.82,65.54,13.39,93
Tevaitoa,80,PF,1554144339,83.75,6.58,-16.78,-151.5,100
Mongo,36,CF,1554144339,86.9,4.52,4.83,22.92,50
Jumla,0,NP,1554144339,26.6,2.33,29.28,82.18,94
Lumeje,0,AO,1554144340,77.27,3.56,-11.56,20.78,40
Kankaanpaa,0,FI,1554144310,37.4,9.17,61.8,22.42,55
Rolla,1,US,1554144247,53.01,8.05,37.95,-91.77,42
Minna,0,NG,1554144340,91.67,6.24,9.62,6.55,28
Sistranda,20,NO,1554144269,37.99,9.17,63.73,8.83,84
Morden,20,CA,1554143848,41,16.11,49.19,-98.1,100
Toora-Khem,20,RU,1554144341,28.76,1.39,52.47,96.11,96
Peleduy,36,RU,1554144341,28.31,6.87,59.63,112.75,62
Broome,0,GB,1554144340,51.01,5.82,52.47,1.45,81
Taoudenni,0,ML,1554144342,84.2,8.59,22.68,-3.98,19
Nizwa,0,OM,1554144223,70.7,4.12,22.93,57.53,28
Jutai,92,BR,1554144343,80.33,2.33,-1.71,-47.89,93
Atambua,56,ID,1554144343,76.28,2.06,-9.11,124.89,100
Petatlan,5,MX,1554140400,86,8.05,17.52,-101.27,62
Remedios,75,CU,1554141000,87.8,3.36,22.5,-79.55,38
Jonkoping,0,SE,1554143458,41,4.7,57.78,14.16,47
Taltal,0,CL,1554144345,68.63,3.33,-25.41,-70.49,74
Tucuman,24,PE,1554144345,68.9,4.12,-17.17,-70.89,74
Iquitos,40,PE,1554141600,42.8,6.93,-3.75,-73.25,319
Maksatikha,0,RU,1554144346,28.67,9.1,57.8,35.88,87
Koppies,76,ZA,1554144346,62.87,5.91,-27.24,27.57,81
Sharanga,0,RU,1554144346,29.57,4.12,57.18,46.54,93
Katangli,88,RU,1554144347,25.52,16.31,51.71,143.23,93
Mareeba,90,AU,1554144324,75.2,11.41,-16.99,145.42,88
Caravelas,0,BR,1554144347,81.05,9.55,-17.73,-39.27,100
Cabra,20,ES,1554143897,62.01,5.82,37.47,-4.43,82
Tondon,0,GN,1554144347,91.58,6.35,10.37,-13.36,46
Sherpur,64,BD,1554144348,66.38,5.64,25.02,90.01,97
Sungaipenuh,92,ID,1554144348,66.74,1.28,-2.08,101.38,93
Basoko,12,CD,1554144349,78.98,5.12,1.23,23.61,81
Harper,90,US,1554144343,57.99,4.7,30.3,-99.24,40
Killybegs,90,IE,1554144124,42.8,14.99,54.63,-8.45,93
Isabela,48,PH,1554144322,72.86,2.84,10.2,122.99,95
Kamwenge,0,UG,1554144350,67.55,0.49,0.19,30.45,89
Norrkoping,12,SE,1554142800,42.8,3.36,58.59,16.18,33
Merauke,92,ID,1554144351,75.38,6.91,-8.49,140.4,100
Roald,75,NO,1554144346,41,13.87,62.58,6.12,52
Iztapa,5,GT,1554141600,93.2,9.17,13.93,-90.71,46
Wanning,0,AT,1554144236,54,11.41,48.64,13.53,75
Usinsk,44,RU,1554144366,25.43,12.95,66,57.56,85
Constantine,75,DZ,1554141600,53.6,4.7,36.36,6.61,87
Coahuayana,0,MX,1554144367,84.47,3.06,18.62,-100.35,20
Touros,92,BR,1554144370,80.69,6.87,-5.2,-35.46,97
Sampang,76,ID,1554144371,78.8,1.32,-7.54,109.46,100
Hobyo,0,SO,1554144371,80.15,9.33,5.35,48.53,86
Lupiro,0,TZ,1554144371,73.94,2.28,-8.39,36.67,92
